Cote,Numéro du reportage,Titre,Date,Photographe(s)
20100562/921,4751,"""Remise du Rapport de l'autorité des marchés Financiers (AMF) par Michel PRADA Président de l'AMF""",2006-05-30,
20100562/922,4752,"""Cérémonie de remise de la médaille de la Famille française""",2006-05-31,
20100562/923,4753,"""Entretien privé de Monsieur le Président de la République avec Gaston FLOSSE accompagné d'une délégation tahitienne""",2006-06-01,
20100562/924,4754,"""Entretien de Monsieur le Président de la République avec le bureau du Conseil représentatif des institutions juives de France (CRIF)""",2006-06-01,
20100562/925,4755,"""Dîner offert par Monsieur le Président de la République à Monsieur et Madame BORIS ELTSINE""",2006-06-01,
20100562/926,4756,"""Entretien de Monsieur le Président de la République avec Jean-Pierre DAVANT Président de la Mutualité Française""",2006-06-02,
20100562/927,4757,"""Cérémonie de décorations : Mme SIMONE ROZES, M. RAYMOND-FRANCOIS LE BRIS, M. YVES DE CHAISEMARTIN, M. JEAN-FRANCOIS DHAINAUT, M. JEAN-LUC ROUGE, M. LEVON SAYAN, M. GILBERT MONTAGNE, Mme JOSETTE ADATTO, Mme ISABELLE DES DORIDES, M. LAKHDAR BELLIFA , M. MARC FUMAROLI , Mme CHRISTINE HEMMET""",2006-06-02,
20100562/928,4758,"""Entretien de Monsieur le Président de la République avec BLAISE CAMPAORE Président de la République du BURKINA FASO""",2006-06-02,
20100562/929,4759,"""Cérémonie de remise des lettres de créance : S.A DENNIS Nouvelle Zélande, M. J.J CHASTEAU DE BALYON Maurice, F. EDJO Guinée équatoriale, J. SUM.ADA Slovénie, M.P ARMANET Chili.""",2006-06-02,
20100562/930,4760,"""Entretien de Monsieur le Président de la République avec son Altesse royale le Prince HAJI AL MUHTADEE BILLAH prince héritier et ministre d'État du BRUNEI DARUSSALAM""",2006-06-05,
20100562/931,4761,"""Rencontre franco-allemande au Château de Rheinsberg""",2006-06-06,
20100562/932,4762,"""Déplacement de Monsieur le Président pour le Match amical International France Chine à Saint-Etienne""",2006-06-07,
20100562/933,4763,"""38ème Congrès national de la Mutualité Française""",2006-06-08,
20100562/934,4764,"""Entretien avec Javier SOLANA secrétaire général du Conseil de l'Union Européenne et haut représentant pour la politique étrangère et de sécurité commune""",2006-06-08,
20100562/935,4765,"""Entretien avec HAN MYUNG SOOK Premier ministre de la Corée du Sud""",2006-06-08,
20100562/936,4766,"""28ème Sommet Franco Britannique""",2006-06-09,
20100562/937,4767,"""Entretien avec TERJE ROED LARSEN représentant spécial du secrétaire général des Nations Unies pour le LIBAN""",2006-06-09,
20100562/938,4768,"""Finale du Championnat Top 14 de Rugby au Stade de France BIARRITZ/TOULOUSE""",2006-06-10,
20100562/939,4769,"""Interview de Monsieur le Président pour l'émission "" Des racines et des Ailes"" sur FR3""",2006-06-12,
20100562/940,4770,"""Cocktail en l'honneur de l'association Louis CARLESIMO de l'opération "" Pièces Jaunes """"",2006-06-12,
20100562/941,4771,"""Installation du Conseil Supérieur de la Magistrature""",2006-06-13,
20100562/942,4772,"""Déjeuner offert en l'honneur de Monsieur ROMANO PRODI président du conseil des ministres de la République Italienne""",2006-06-13,
20100562/943,4773,"""Cocktail en l'honneur des ambassadeurs soleil de l'opération "" Pièces Jaunes """"",2006-06-13,
20100562/944,4774,"""Entretien suivi d'un déjeuner avec EHOUD OLMERT Premier ministre d'Israël""",2006-06-14,
20100562/945,4775,"""Entretien avec DIONNE CHAREST""",2006-06-14,
20100562/946,4776,"""Conseil Européen à Bruxelles""",2006-06-15,
20100562/947,4777,"""Réception offerte par Madame Jacques CHIRAC en l'honneur des parlementaires afghanes""",2006-06-15,
20100562/948,4778,"""Réception offerte en l'honneur de l'association des Maisons de France""",2006-06-16,
20100562/949,4779,"""Entretien avec le Prince MUTAYEB BIN ABDALLAH d'Arabie Saoudite""",2006-06-16,
20100562/950,4780,"""Commémoration de l'appel du 18 juin 1940""",2006-06-18,
20100562/951,4781,"""Inauguration par monsieur le Président de la République et Madame Jacques CHIRAC du musée du Quai Branly en présence de KOFI ANNAN""",2006-06-20,
20100562/952,4782,"""Réception offerte par Monsieur le Président de la République et Madame Jacques CHIRAC à l'occasion de l'inauguration du musée du Quai Branly""",2006-06-20,
20100562/953,4783,"""Photographies de famille dans la cour de l'Élysée à l'issue d'un entretien de Monsieur BONNAFONT porte parole du Président de la République avec des journalistes d’Océanie, Samoa, Nouvelle Zélande, Vanuatu, Papouasie, Nouvelle Guinée, Fidji, Palau""",2006-06-21,
20100562/954,4784,"""Entretien avec Saad HARIRI Président du Mouvement pour le futur du Liban""",2006-06-23,
20100562/955,4785,"""Présentation du site Géoportail.fr""",2006-06-23,
20100562/956,4786,"""Entretien avec les chefs de délégation des collectivités françaises du Pacifique""",2006-06-23,
20100562/957,4788,"""90ème anniversaire de la bataille de Verdun""",2006-06-25,
20100562/958,4789,"""2ème Sommet France-Océanie""",2006-06-26,
20100562/959,4790,"""Interview de Monsieur le Président de la République par Arlette CHABOT journal de 20h sur France 2""",2006-06-26,
20100562/960,4791,"""Table ronde avec les syndicats, les organisations non gouvernementales et les collectivités locales consacrée à la préparation du sommet du G8 de Saint-Pétersbourg""",2006-06-27,
20100562/961,4792,"""Pot de départ de Monsieur VANINGE VANQUELEEF""",2006-06-28,
20100562/962,4793,"""Entretien de Monsieur le Président de la République avec THOMAS BONI YAYI président de la République du BENIN""",2006-06-28,
20100562/963,4794,"""Déplacement à Tours de Monsieur le Président de la République dans le cadre d'une cérémonie de remise de décrets de naturalisation""",2006-06-29,
20100562/964,4795,"""Réception "" Pièces Jaunes""""",2006-06-29,
20100562/965,4796,"""Entretien de Monsieur le Président de la République avec René PREVAL , Président de la République d'Haïti""",2006-06-30,
20100562/966,4797,"""Entretien de Monsieur le Président de la République avec André ROSSINOT président du parti Radical de Gauche""",2006-06-30,
20100562/967,4798,"""Pot de départ des garçons de vestibule avec Monsieur le Président de la République""",2006-06-30,
20100562/968,4799,"""Déplacement de Monsieur le Président de la République en République fédérale Allemande lors du quart de Finale de la coupe du monde opposant la France au Brésil""",2006-07-01,
20100562/969,4800,"""Entretien de Monsieur le Président de la République avec le CHEIKH NASSER SABAH AL AHMAD AL SABAH fils de l’émir du Koweït""",2006-07-04,
20100562/970,4801,"""Réception offerte par Mme Jacques CHIRAC en l'honneur des danseurs du ballet américain""",2006-07-04,
20100562/971,4802,"""Entretien de Monsieur le Président de la République avec Jean-Louis CHRETIEN ancien Premier ministre du CANADA""",2006-07-05,
20100562/972,4803,"""Entretien de Monsieur le Président de la République avec Olivier de Kersauson""",2006-07-06,
20100562/973,4804,"""Inauguration par Monsieur le Président de la République de la place Michel DEBRE (6ème Arrondissement) en présence de Jean-Louis Debré, Bernard Debré et le Maire de Paris""",2006-07-09,
20100562/974,4805,"""Retransmission du match France-Italie dans la salle des fêtes de l'Élysée pour l'ensemble des personnels de l'Élysée""",2006-07-09,
20100562/975,4806,"""Déplacement de Monsieur le Président de la République en République Fédérale d'Allemagne pour assister à la finale de la coupe du monde""",2006-07-09,
20100562/976,4807,"""Réception et déjeuner en l'honneur de l'équipe de France de Football finaliste de la coupe du monde en Allemagne""",2006-07-10,
20100562/977,4808,"""Cérémonie nationale à l'occasion du centenaire de la réhabilitation d'Alfred DREYFUS""",2006-07-12,
20100562/978,4809,"""Remise de décorations suivie de la garden party à l'hôtel de Brienne""",2006-07-13,
20100562/979,4810,"""Garden party au ministère de l'Outre-mer""",2006-07-13,
20100562/980,4811,"""Remise de décoration à l'État-major Particulier""",2006-07-14,
20100562/981,4812,"""Déplacement du Président à Paris à l'occasion du défilé militaire du 14 Juillet""",2006-07-14,
20100562/982,4813,"""Garden party au palais de l'Élysée""",2006-07-14,
20100562/983,4814,"""Déplacement du Président à Saint-Pétersbourg en Russie, à l'occasion du Sommet G8""",2006-07-15 / 2006-07-17,
20100562/984,4815,"""Remises des lettres de créance (JAPON IRAN HONDURAS SAMOA BOSTWANA)""",2006-07-18,
20100562/985,4816,"""Entretien de départ avec Monsieur le Président de la République du Docteur CHEVRE médecin à la Présidence de la République""",2006-07-18,
20100562/986,4817,"""Entretien de Monsieur le Président de la République avec le général THORETTE chef d’État-major de l’armée de Terre""",2006-07-18,
20100562/987,4818,"""Entretien du Président avec le Général Richard WOLSZTYNSKI, chef d'État-major de l'Armée de l'Air, au Palais de l'Élysée""",2006-07-18,
20100562/988,4819,"""Déclaration du Président de la République sur la crise au LIBAN à l'issue du conseil des ministres""",2006-07-19,
20100562/989,4820,"""Déjeuner offert par le Président en l'honneur de Stephen HARPER, Premier Ministre du Canada, au Palais de l'Élysée""",2006-07-19,
20100562/990,4821,"""Remise de la Légion d'honneur à YEO DJELIKA ancien combattant""",2006-07-19,
20100562/991,4822,"""Entretien du Président avec Sultan BIN ABDULAZIZ AL SAOUD, Prince héritier, Vice-Premier Ministre et Ministre de la Défense d'Arabie Saoudite, au Palais de l'Élysée""",2006-07-20,
20100562/992,4823,"""Dîner privé de Madame Jacques CHIRAC""",2006-07-19,
20100562/993,4824,"""Entretien du Président avec Jean CHAREST, Premier Ministre du Québec, au Palais de l'Elysée""",2006-07-20,
20100562/994,4825,"""Entretien suivi d'un déjeuner offert par Monsieur le Président de la République en l'honneur de son altesse Royale le Prince Sultan BIN ABDULAZIZ AL SAOUD Prince hériter, Premier Vice-président du conseil des ministres, ministre de la Défense du Royaume d'Arabie Saoudite""",2006-07-20,
20100562/995,4826,"""Entretien avec M. Armando GUEBUZA, président de la République du Mozambique""",2006-07-21,
20100562/996,4827,"""Entretien de Monsieur le Président de la République suivi d'un déjeuner en l'honneur de S.E CHEIKH KHALIFA BIN ZAYED AL NAHYAN président de la Fédération des Émirats Arabes Unis et l'émir d'Abou Dhabi""",2006-07-21,
20100562/997,4828,"""Cérémonie de signature d'accords par le Président et Sultan BIN ABDULAZIZ AL SAOUD, Prince héritier, Vice-Premier Ministre et Ministre de la Défense d'Arabie Saoudite, au Palais de l'Élysée""",2006-07-21,
20100562/998,4829,"""Remise de décoration à l'État-major Particulier""",2006-07-21,
20100562/999,4830,"""Entretien du Président avec Saad HARIRI, Président du ""Mouvement pour le futur"" du Liban, au Palais de l'Élysée""",2006-07-21,
20100562/1000,4831,"""Cérémonie de décorations : Yves GROSGOGEAT; André DUROMEA ; Jacques POLAIN ; Bernard BILLAUD : Raymond COUDERC ; Martine MAHTOUK ; Patrick JANUEL ; Joël MORIN ; Nicole LEDOUARIN ; Paulette LAUBIE ; Jean-Cyril SPINETTA ; Jean NOUVEL""",2006-07-21,
20100562/1001,4832,"""Entretien de Monsieur le Président de la République avec Monsieur Sylvain BREVET""",2006-07-25,
20100562/1002,4833,"""Entretien de Monsieur le Président de la République avec le général d'Armée GUO BOXIONG Vice-président de la commission militaire centrale de la République populaire de Chine""",2006-07-27,
20100562/1003,4834,"""Entretien de Monsieur le Président de la République avec Mademoiselle Amélie DIONNE CHARESTE""",2006-07-28,
20100562/1004,4835,"""Entretien de Monsieur le Président de la République avec Jacques DIOUF Directeur général de l'Organisation des Nations-Unies pour l'alimentation et l'Agriculture""",2006-07-28,
20100562/1005,4836,"""Déjeuner offert par le Président en l'honneur de Paul BIYA, Président de la République du Cameroun, au Palais de l'Élysée""",2006-07-28,
20100562/1006,4837,"""Entretien de Monsieur le Président de la République avec Gérard PELISSON Président de l'Association des Français de l'étranger""",2006-07-28,
20100562/1007,4838,"""Entretien de Monsieur le Président de la République avec le Monsieur Richard DIDIER""",2006-07-28,
20100562/1008,4839,"""Entretien de monsieur le Président de la République avec le Professeur David KHAYAT Président de l'Institut National du Cancer""",2006-08-01,
20100562/1009,4842,"""Intervention télévisée du Président à propos du Liban et de la FINUL, au Palais de l'Élysée""",2006-08-24,
20100562/1010,4843,"""Dépôt de gerbe à la statue De Gaulle et rencontre Franco-allemande au Palais de l’Élysée""",2006-08-25,
20100562/1011,4844,"""Réception offerte par le Président à l'occasion de la 14ème conférence des Ambassadeurs, au Palais de l'Elysée""",2006-08-28,
20100562/1012,4845,"""Entretien de départ avec Gaëlle HEYERT (Telex)""",2006-08-29,
20100562/1013,4846,"""Entretien de départ du Président avec le contre-amiral Bernard ROGEL, adjoint mer au chef d'État-major particulier du Président de la République, au Palais de l'Élysée""",2006-08-28,
20100562/1014,4847,"""Entretien avec OMAR BONGO président du GABON""",2006-08-29,
20100562/1015,4848,"""Entretien de départ du Président avec le général Pierre BOURLOT, adjoint air au chef d'État-major particulier du Président de la République, au Palais de l'Élysée""",2006-08-30,
20100562/1016,4849,"""Pot de départ de Laurence AUER et de Charles FRIES""",2006-09-01,
20100562/1017,4855,"""Entretien de Monsieur le Président de la République avec AHMED QOREI ancien Premier ministre de l'Autorité palestinienne""",2006-09-04,
20100562/1018,4856,"""Entretien du Président avec Idriss DEBY, Président de la République du Tchad, au Palais de l'Élysée""",2006-09-04,
20100562/1019,4857,"""Fondation Georges POMPIDOU. Déplacement de Monsieur le Président de la République au Cinéma des Champs-Élysées""",2006-09-05,
20100562/1020,4858,"""Entretien du Président avec Moritz LEUENBERGER, Président de la Confédération suisse, au Palais de l'Élysée""",2006-09-06,
20100562/1021,4859,"""Visite de Monsieur le Président de la République à la direction des applications militaires du commissariat à l'Énergie atomique à Bruyères-le-Chatel (Essonne)""",2006-09-07,
20100562/1022,4860,"""Entretien du Président avec Faure GNASSIMGBE, Président de la République du Togo, au Palais de l'Élysée""",2006-09-07,
20100562/1023,4861,"""Pot de départ du général BOURLOT et de l'amiral ROGEL en présence du Président de la République""",2006-09-07,
20100562/1024,4862,"""Entretien du Président avec Mayankote Kelath NARAYANAN, Conseiller indien pour la Sécurité nationale et Représentant spécial de l’Inde pour la question des frontières entre la Chine et l’Inde, au Palais de l'Élysée""",2006-09-08,
20100562/1025,4863,"""Cérémonie de décorations : Marc LADREIT DE LACHARRIERE / André ROSSINOT / Gisèle HALIMI / Françoise MONOT / Henri PLAGNOL / Rémy SCHWARTZ / Jean-Pierre ASVAZADOURIAN / Evelyne SULLEROT / Ahmed SAIDI / Nelly VIENNOT / Yves GOLA""",2006-09-08,
20100562/1026,4864,"""Cérémonie de remise des lettres de Créances au Président, au Palais de l'Élysée""",2006-09-08,
20100562/1027,4865,"""6ème Sommet Europe-Asie (ASEM) à HELSINKI""",2006-09-10,
20100562/1028,4866,"""Entretien du Président avec le Cheikh Nasser Mohammed AL SABAH, Premier ministre du Koweït, au Palais de l'Élysée""",2006-09-12,
20100562/1029,4867,"""Entretien de Monsieur le Président de la République avec GIORGIO NAPOLITANO Président de la République Italienne""",2006-09-12,
20100562/1030,4868,"""Cérémonie d'ouverture de l'Atelier culturel Europe-Méditerranée-Golfe suivie d'un déjeuner offert par le Président aux différents intervenants, au Palais de l'Élysée""",2006-09-13,
20100562/1031,4869,"""Interview de Monsieur le Président de la République par la chaîne de télévision Al Arabia""",2006-09-17,
20100562/1032,4870,"""Journées du Patrimoine - Visites privées de Bernadette CHIRAC, au Palais de l'Élysée""",2006-09-17,
20100562/1033,4871,"""Interview de Monsieur le Président de la République par la chaine de télévision CNN""",2006-09-17,
20100562/1034,4872,"""Déplacement du Président dans les studios de la radio ""Europe 1"", invité et interviewé par le journaliste Jean-Pierre ELKABBACH""",2006-09-18,
20100562/1035,4874,"""Déplacement du Président au Bourget, à l'occasion de l'inauguration du ""Monument Normandie-Niemen"", en compagnie de Vladimir POUTINE, Président de la Fédération de Russie""",2006-09-22,
20100562/1036,4875,"""Entretien avec Vladimir POUTINE président de la Fédération de Russie suivi d'une cérémonie de signature d'accords et d'un dîner de travail""",2006-09-22,
20100562/1037,4876,"""Déplacement du Président au Château de Compiègne (Oise), à l'occasion d'une rencontre tripartite France-Allemagne-Russie, avec Angela MERKEL, Chancelier allemand et Vladimir POUTINE, Président de Russie""",2006-09-23,
20100562/1038,4877,"""Rencontre de travail à l'occasion de l'installation du Haut conseil de la science et de la technologie""",2006-09-25,
20100562/1039,4878,"""Réception offerte par le Président en l'honneur de l'installation du Haut Conseil de la science et de la Technologie, au Palais de l'Élysée""",2006-09-25,
20100562/1040,4879,"""Entretien avec l'amiral GUILLAUD""",2006-09-26,
20100562/1041,4880,"""Entretien du Président avec Ely OULD MOHAMED VALL, Président de Mauritanie, au Palais de l'Elysée""",2006-09-26,
20100562/1042,4881,"""Remise de décoration au commandant DURTESTE aide de camp de Monsieur le Président de la République""",2006-09-26,
20100562/1043,4882,"""Déplacement du Président à Bucarest en Roumanie, à l'occasion du XIème Sommet de la Francophonie, les 27-29 septembre 2006, au cours duquel, il a assisté à la cérémonie de clôture de la XXVIème séance de l'Association Internationale des Maires Francophones (AIMF)""",2006-09-27,
20100562/1044,4883,"""Visite d'Etat de Monsieur et Madame Jacques CHIRAC en Arménie""",2006-09-29,
20100562/1045,4884,"""Entretien du Président avec le Général James JONES, Commandant Suprême des Forces alliées en Europe suivi d'une remise de décoration, au Palais de l'Élysée""",2006-10-02,
20100562/1046,4885,"""Entretien de départ de Renaud DENOIX DE SAINT MARC Vice Président du Conseil d'Etat""",2006-10-02,
20100562/1047,4886,"""Pot de départ du Général Jean-Louis GEORGELIN, chef d'Etat-major particulier du Président de la République, au Palais de l'Elysée""",2006-10-02,
20100562/1048,4887,"""Dîner privé de Monsieur le Président de la République et de Gerhard SCHROEDER""",2006-10-02,
20100562/1049,4888,"""Déjeuner du Président avec Michèle ALLIOT-MARIE, Ministre de la Défense, le Général Henri BENTEGEAT, chef d'état major des armées et le Général Jean-Louis GEORGELIN, chef d'État-major particulier du Président de la République, au Palais de l'Élysée""",2006-10-03,
20100562/1050,4889,"""Cérémonie de départ du général d'armée BENTEGEAT, chef d'Etat-Major des Armées""",2006-10-03,
20100562/1051,4890,"""Entretien du Président avec Fujio MITARAI, Président de la Fédération des Entreprises japonaises (KEIDANREN), au Palais de l'Élysée""",2006-10-04,
20100562/1052,4891,"""Réception au cercle interallié de Monsieur le Président de la République pour la soirée du syndicat de la presse quotidienne régionale""",2006-10-04,
20100562/1053,4892,"""Déplacement du Président à Cournon-d'Auvergne (Puy-de-Dôme) à l'occasion de l'ouverture de XVe Sommet de l'élevage""",2006-10-05,
20100562/1054,4893,"""Cérémonie de remise de décorations : M. PELISSON / M. ALBERT / M. SCHLERET / M. HUTIN / M. HEITZ / M. LOWENSTEIN / MME YAFI / MME PUYBASSET / M. FOROJET / MME DE BOISDEFFRE / M. NACHITE .""",2006-10-06,
20100562/1055,4894,"""Entretien du Président avec LEE Kuan Yew, Minister mentor de la République de Singapour, au Palais de l'Elysée""",2006-10-06,
20100562/1056,4895,"""Allocution de Monsieur le Président de la République sur la modernisation du dialogue social""",2006-10-10,
20100562/1057,4896,"""Entretien en tête-à-tête du Président avec Denis SASSOU-N'GUESSO, Président de la République du Congo (Congo-Brazzaville), au Palais de l'Élysée.""",2006-10-11,
20100562/1058,4897,"""7ème Conseil des ministres Franco-allemand""",2006-10-12,
20100562/1059,4898,"""Cérémonie privée de remise des insignes de commandeur de la Légion d'Honneur décorations au Général Jean-Louis GEORGELIN, chef d'État-major des Armées et ancien chef d'État-major particulier du Président de la République, au Palais de l'Élysée""",2006-10-12,
20100562/1060,4899,"""Entretien de Monsieur le Président de la République avec Sergui STANICHEV Premier ministre du Bulgarie""",2006-10-13,
20100562/1061,4900,"""Déplacement du Président à l'Hôtel National des Invalides pour la prise d'armes d'automne""",2006-10-13,
20100562/1062,4901,"""Cérémonie de remise de lettres de créance des ambassadeurs : TANZANIE / BOLIVIE / SAINT MARIN / VENEZUELA / EGYPTE / BURUNDI .""",2006-10-13,
20100562/1063,4902,"""Pot de départ d’Augustin de ROMANET de BEAUNE, Secrétaire général adjoint, au Palais de l'Élysée""",2006-10-13,
20100562/1064,4903,"""Entretien de Monsieur le Président avec une mission ministérielle marocaine conduite par Monsieur MOHAMMED BENAISSA ministre des Affaires étrangères du royaume du Maroc""",2006-10-16,
20100562/1065,4904,"""Entretien du Président avec Abraham H. FOXMAN, Directeur de la branche américaine de l'Anti-defamation League (ADL), suivie d'une cérémonie de remise des insignes de Chevalier de la Légion d'Honneur, au Palais de l'Élysée.""",2006-10-16,
20100562/1066,4905,"""Cocktail offert à l’association Pont Neuf""",2006-10-18,
20100562/1067,4906,"""Entretien du Président avec Saad HARIRI Président du ""Mouvement pour le Futur"", parti politique du Liban, au Palais de l'Élysée""",2006-10-19,
20100562/1068,4907,"""Déplacement du Président à Lahti en Finlande, à l'occasion d'une réunion informelle des chefs d'État et de gouvernement de l'Union européenne.""",2006-10-20,
20100562/1069,4910,"""Visite du Palais de l'Élysée par une délégation des Meilleurs Ouvriers de France""",2006-10-24,
20100562/1070,4911,"""Déjeuner privé offert par Madame Jacques Chirac en l'honneur de la famille ROSTROPOVITCH""",2006-10-29,
20100562/1071,4912,"""Entretien du Président avec Jalal TALABANI, Président de la république d'IRAK, au Palais de l'Élysée.""",2006-11-02,
20100562/1072,4913,"""Photographies dans le bureau de Monsieur le Président avec Mansour KAMARDINE député de Mayotte""",2006-11-02,
20100562/1073,4914,"""Cérémonie collective de remise de décorations, au Palais de l'Élysée.""",2006-11-03,
20100562/1074,4915,"""Déjeuner offert par Monsieur le Président de la République en l'honneur de BAN KI-MOON ministre des Affaires étrangères et du Commerce extérieur de la République de Corée, secrétaire général désigné de l'Organisation des Nations Unies""",2006-11-03,
20100562/1075,4916,"""Visite privée du Palais de l'Élysée et rencontre avec le Président en présence de Bernadette CHIRAC, par une délégation de l'association "" Faire Face "".""",2006-11-05,
20100562/1076,4917,"""Remise des insignes de commandeur de la Légion d'honneur à maître SHIRIN EBADI prix Nobel de la paix""",2006-11-06,
20100562/1077,4918,"""Déplacement du Président à Istres (Bouches-du-Rhône) à l'occasion d'une visite du Centre d'Essai en Vol de la Délégation Générale de l'Armement (DGA) sur la Base aérienne 125.""",2006-11-07,
20100562/1078,4919,"""190ème anniversaire de la Caisse des dépôts""",2006-11-08,
20100562/1079,4920,"""Déplacement du Président à Colombey-les-deux-Eglises à l'occasion de la pose de la première pierre du Mémorial Charles de Gaulle""",2006-11-09,
20100562/1080,4921,"""Entretien de Monsieur le Président de la République avec Monsieur Donald TSANG chef de l'exècutif de la région administrative spéciale de Hong-Kong""",2006-11-09,
20100562/1081,4922,"""Entretien du Président avec Dominique BAUDIS, Président du Conseil Supérieur de l'Audiovisuel à l'occasion de la remise du rapport du CSA, au Palais de l'Élysée.""",2006-11-10,
20100562/1082,4923,"""Entretien de Monsieur le Président de la République avec Bernard BAJOLET ambassadeur de France en Algérie""",2006-11-10,
20100562/1083,4924,"""Entretien du Président avec Pierre NKURUNZIZA, Président de la République du BURUNDI, au Palais de l'Elysée""",2006-11-10,
20100562/1084,4925,"""Pot de départ de Marthe STEFFAN en présence de Monsieur le Président de la République""",2006-11-10,
20100562/1085,4926,"""Déplacement du Président à Paris pour y présider les cérémonies nationales commémoratives de l'Armistice du 11 novembre 1918, à l'Arc de Triomphe et la Place Clémenceau""",2006-11-11,
20100562/1086,4927,"""Audience accordée par Monsieur Jacques CHIRAC président de la République à une délégation du congrès juif mondial et du congrès juif européen""",2006-11-13,
20100562/1087,4928,"""Déplacement du Président à Amiens (Somme) à l'occasion du Xème Anniversaire de l'implantation des Zones Franches""",2006-11-14,
20100562/1088,4929,"""Entretien avec Monsieur Denis Sassou N'GUESSO Président de la République du Congo""",2006-11-14,
20100562/1089,4930,"""Déjeuner de travail du Président avec Helen CLARK, Premier Ministre de Nouvelle Zélande, au Palais de l'Élysée.""",2006-11-15,
20100562/1090,4931,"""Réception offerte par Madame Jacques CHIRAC dans le cadre de l'opération "" Plus de Vie""""",2006-11-15,
20100562/1091,4932,"""Déplacement du Président à Gérone en Espagne, à l'occasion du XIXème Sommet franco-espagnol.""",2006-11-16,
20100562/1092,4933,"""Visite du palais de l'Élysée par des cadets de la France libre et de Pierre LEFRANC""",2006-11-16,
20100562/1093,4934,"""Déjeuner privé de Bernadette CHIRAC avec des membres de sa famille, au Palais de l'Élysée.""",2006-11-16,
20100562/1094,4935,"""Inauguration par Monsieur le Président de la République du musée rénové de la Légion d'honneur""",2006-11-17,
20100562/1095,4936,"""Déjeuner organisé par Bernadette CHIRAC, au Palais de l'Élysée""",2006-11-17,
20100562/1096,4937,"""Remise de lettres de créance : COLOMBIE / MONACO / SOUDAN / MOLDAVIE / REPUBLIQUE CENTRE AFRIQUE""",2006-11-17,
20100562/1097,4938,"""Entretien du Président avec Ali Abdallah SALEH, Président de la République du Yémen, au Palais de l'Elysée""",2006-11-18,
20100562/1098,4939,"""Photographies de groupe de la famille ARMAN devant la sculpture des Cent drapeaux dans le vestibule d'honneur""",2006-11-18,
20100562/1099,4940,"""Entretien du Président avec Dominique VERSINI, Défenseure des enfants au cours duquel elle lui remettra le rapport annuel, au Palais de l'Elysée.""",2006-11-20,
20100562/1100,4941,"""Entretien de Monsieur le Président de la République avec sa majesté NORODOM SIHAMONI roi du Cambodge""",2006-11-20,
20100562/1101,4942,"""Dîner d'État offert par le Président et Bernadette CHIRAC en l'honneur de Sihamoni NORODOM, Roi du Cambodge, au Palais de l'Elysée.""",2006-11-20,
20100562/1102,4943,"""Cérémonie de signature de l'accord international ITER pour l'énergie de fusion, suivi d'un entretien avec José Manuel BARROSO président de la Commission Européenne""",2006-11-21,
20100562/1103,4945,"""Entretien de Monsieur le Président de la République avec son altesse royale le Prince BANDAR BIN SULTAN Président du conseil de sécurité nationale du Royaume d'Arabie Saoudite""",2006-11-22,
20100562/1104,4946,"""Interview du Président accordée à un journaliste de la presse écrite italienne ""CORRIERE DELLA SERRA"", au Palais de l'Élysée""",2006-11-23,
20100562/1105,4947,"""Cérémonie de remise des écharpes d'or 2006 de la prévention routière par Monsieur le Président de la République en présence de Madame Jacques CHIRAC""",2006-11-23,
20100562/1106,4948,"""Déplacement du Président à Lucca en Italie, à l'occasion des XXVèmes Consultations franco-italiennes.""",2006-11-24,
20100562/1107,4949,"""Déplacement de Monsieur le Président à RIGA à l'occasion du sommet de l'Organisation du Traité de l'Atlantique Nord (OTAN) à Riga en Lettonie""",2006-11-28,
20100562/1108,4950,"""Entretien du Président avec Omar BONGO, Président de la République du Gabon, au Palais de l'Élysée.""",2006-11-30,
20100562/1109,4951,"""Entretien suivi d'un déjeuner offert par Monsieur le Président de la République en l'honneur de son altesse le Cheikh Sabah al Jader Al sabah émir du Koweit""",2006-11-30,
20100562/1110,4953,"""Inauguration d’une œuvre « l'Artère- le jardin des dessins » à l'occasion de la Journée mondiale de lutte contre le sida""",2006-12-01,
20100562/1111,4954,"""Entretien du Président avec Jean-Luc WARSMANN, Député des Ardennes, au Palais de l'Élysée.""",2006-12-01,
20100562/1112,4955,"""Remise de décoration au colonel CASTRES et à l'Adjudant-chef DELLA VECCHIA""",2006-12-01,
20100562/1113,4956,"""Déplacement du Président et Bernadette CHIRAC au Musée ""Jacques Chirac"" de Sarran (Corrèze)""",2006-12-02,
20100562/1114,4957,"""Remise de décoration : Jean DUPUY, Jean POURTY, Paul GUY, Françoise LIMOUJOUX, Christian TERRASSOUX, Raymond RAOUL, Marcel GIRAL, Gabriel CHEZE, Raymond AGNOUX, Laurent CHASTAGNOL, Gérard GUINETON, Dominique MARCHI""",2006-12-04,
20100562/1115,4958,"""Réception offerte par le Président et Bernadette CHIRAC, à l'occasion de la 20ème édition du TELETHON, au Palais de l'Élysée""",2006-12-04,
20100562/1116,4959,"""Rencontre franco-allemande "" BLASHEIM "" 7ème rencontre tripartite "" TRIANGLE DE WEIMAR """"",2006-12-05,
20100562/1117,4960,"""Entretien du Président avec Tzipi LIVNI, Ministre des Affaires étrangères d'Israël, au Palais de l'Élysée.""",2006-12-06,
20100562/1118,4961,"""Lancement de la chaîne de télévision France 24""",2006-12-06,
