N°Reportage,Date,Intitulé,Lieux,Photographe
70250,10/10/07,Visite Officielle à Moscou,Russie,A.Roine
70251,11/10/07,Cérémonie de création de lafondation pour le MondeMéditerranéen,Élysée,D.Noizet
70253,12/10/07,"Entretien avec le ProfesseurAlbert FERT, prix Nobel dephysique",Élysée,A.Roine
70254,12/10/07,"Entretien avec PhumzileMLAMBO-NGCUKA,Vice Présidente de laRépublique d'Afrique du Sud",Élysée,D.Noizet
70256,13/10/07,"Demi-finale de la coupe dumonde de rugby, France-Angleterre au Stade deFrance",Seine-Saint-Denis,A.Roine
70257,15/10/07,Remise du rapport sur lecomité de suivi sur la miseen œuvre du droit aulogement opposable,Élysée,D.Noizet
70258,15/10/07,"Entretien avec JeanMALAURIE, Président duCentre d'Études Arctiques",Élysée,D.Noizet
70259,15/10/07,Remise des premièrespropositions de lacommission JacquesATTALI,Élysée,D.Noizet
70260,15/10/07,Réunion de travail avec lesprincipales organisationsnationales de lutte contre lapauvreté,Élysée,D.Noizet
70262,16/10/07,Déplacement à Bordeauxsur le thème de la santé et dela modernisation de l’hôpitalet installation de laCommission Larcher sur lesmissions de l’hôpital,Gironde,M.Klein
70263,16/10/07,"Obsèques du sergent-chefHOSDEZ, sapeur-pompiervolontaire à Bailleul",Nord,M.Klein
70264,16/10/07,Visite de l'ExpositionGustave Courbet au GrandPalais à Paris,Paris,D.Noizet
70265,17/10/07,"Entretien avec JalalTALABANI, Président de laRépublique irakienne",Élysée,L.Blevennec
70266,17/10/07,Discours sur la lutte contrela pauvreté au ConseilÉconomique et Social à Paris,Paris,L.Blevennec
70267,17/10/07,"Entretien avec KarolosPAPOULIAS, Président dela République hellénique",Élysée,L.Blevennec
70268,17/10/07,"Dîner au Bristol avec TonyBlair, représentant duQuartet au Proche-Orient etancien Premier Ministre duRoyaume Uni",Paris,D.Noizet
70269,18/10/07,"Remise du rapport duComité National d'Éthiquepar son Président, DidierSICARD",Élysée,M.Klein
70270,18/10/200,Déplacement à Lisbonne,Portugal,D.Noizet
,7,sommet conseil européen(pas de photos),,
70271,20/10/07,"Entretien avec ThaboMBEKI, Président Afriquedu Sud et GordonBROWN, Premier Ministredu Royaume Uni",Élysée,D.Noizet
70272,20/10/07,Finale de la coupe du Mondede Rugby au Stade de France,Seine-Saint-Denis,D.Noizet
70274,22/10/07,"Déjeuner avec EhudOLMERT, PremierMinistre Israélien",Élysée,A.Roine
70275,22/10/07,"Visite d'État à Marrakech,Rabat et Tanger",Maroc,Blevennec/Klein
70276,25/10/07,Conseil des ministres(Bernard Laporte),Élysée,M.Klein
70278,25/10/07,Restitution des premièresconclusions du Grenelle del’Environnement,Élysée,Noizet/Roine
70279,26/10/07,Visite de l'établissementindustriel de maintenance dumatériel SNCF à Saint-Denis,Seine-Saint-Denis,L.Blevennec
70280,26/10/07,"Déjeuner avec AmadouToumani TOURE,Président de la Républiquedu Mali",Élysée,M.Klein
70281,26/10/07,"Entretien avec SergeSARKISSIAN, PremierMinistre de la Républiqued’Arménie",Élysée,L.Blevennec
70282,26/10/07,"Entretien avec Paul BIYA,Président de la Républiquedu Cameroun",Élysée,A.Roine
70283,29/10/07,"Entretien avec FrançoisHollande, Premier secrétairedu Parti socialiste",Élysée,M.Klein
